state,sex,reference,age,cause_group,ppd_state,ppd_ref,ppd_gap,contribution,method
Alabama,Male,western_europe,0,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,5.90644636921933e-06,horiuchi
Alabama,Male,western_europe,0,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,6.29812402230812e-08,horiuchi
Alabama,Male,western_europe,0,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,8.80047053009037e-07,horiuchi
Alabama,Male,western_europe,0,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,7.44182185430375e-06,horiuchi
Alabama,Male,western_europe,0,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,9.11296333960809e-06,horiuchi
Alabama,Male,western_europe,0,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,2.24371876755836e-06,horiuchi
Alabama,Male,western_europe,0,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,9.91785907642484e-05,horiuchi
Alabama,Male,western_europe,0,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0.00169779402770243,horiuchi
Alabama,Male,western_europe,0,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,1.05178869524991e-06,horiuchi
Alabama,Male,western_europe,0,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.00168838562368212,horiuchi
Alabama,Male,western_europe,0,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,3.29720686107482e-05,horiuchi
Alabama,Male,western_europe,0,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,0,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,3.44882504887956e-07,horiuchi
Alabama,Male,western_europe,0,Violence,0.346247403625507,0.188074905076724,0.158172498548784,0.000147657120572187,horiuchi
Alabama,Male,western_europe,1,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,5.34794499018609e-07,horiuchi
Alabama,Male,western_europe,1,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,3.3394586984592e-08,horiuchi
Alabama,Male,western_europe,1,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,3.95712534295711e-07,horiuchi
Alabama,Male,western_europe,1,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,-5.88209941088103e-07,horiuchi
Alabama,Male,western_europe,1,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,7.19881261046496e-07,horiuchi
Alabama,Male,western_europe,1,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,6.83718697991331e-07,horiuchi
Alabama,Male,western_europe,1,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,1.72854918309984e-05,horiuchi
Alabama,Male,western_europe,1,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,1,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,1,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,1,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,1.54597025847636e-07,horiuchi
Alabama,Male,western_europe,1,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,1,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,1.31388901341012e-05,horiuchi
Alabama,Male,western_europe,1,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,4.52012947027569e-06,horiuchi
Alabama,Male,western_europe,1,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.000165509978749201,horiuchi
Alabama,Male,western_europe,1,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,9.22215570131613e-07,horiuchi
Alabama,Male,western_europe,1,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,3.1306285177557e-05,horiuchi
Alabama,Male,western_europe,1,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,1,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,2.04126643699176e-07,horiuchi
Alabama,Male,western_europe,1,Violence,0.346247403625507,0.188074905076724,0.158172498548784,5.66529348670075e-05,horiuchi
Alabama,Male,western_europe,2,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,9.65466288249672e-07,horiuchi
Alabama,Male,western_europe,2,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,6.88154088157589e-08,horiuchi
Alabama,Male,western_europe,2,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,5.21772644868079e-07,horiuchi
Alabama,Male,western_europe,2,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,4.90757248727824e-07,horiuchi
Alabama,Male,western_europe,2,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,9.57543543567141e-07,horiuchi
Alabama,Male,western_europe,2,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,8.45952642269943e-07,horiuchi
Alabama,Male,western_europe,2,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,2.00366085798542e-05,horiuchi
Alabama,Male,western_europe,2,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,2,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,2,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,2,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,2.20142668316825e-07,horiuchi
Alabama,Male,western_europe,2,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,2,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,7.37355479774049e-06,horiuchi
Alabama,Male,western_europe,2,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,3.91734280413836e-06,horiuchi
Alabama,Male,western_europe,2,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.000320590071303473,horiuchi
Alabama,Male,western_europe,2,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,4.6737995870183e-06,horiuchi
Alabama,Male,western_europe,2,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,9.35802063312119e-05,horiuchi
Alabama,Male,western_europe,2,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,2,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,1.38051304610087e-07,horiuchi
Alabama,Male,western_europe,2,Violence,0.346247403625507,0.188074905076724,0.158172498548784,9.64844626458738e-05,horiuchi
Alabama,Male,western_europe,5,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,6.1853808486223e-07,horiuchi
Alabama,Male,western_europe,5,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,1.68786055132486e-08,horiuchi
Alabama,Male,western_europe,5,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,1.09063646502872e-06,horiuchi
Alabama,Male,western_europe,5,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,1.06774414088129e-07,horiuchi
Alabama,Male,western_europe,5,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,1.24795921818688e-06,horiuchi
Alabama,Male,western_europe,5,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,4.40165006887483e-07,horiuchi
Alabama,Male,western_europe,5,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,1.06121960273819e-05,horiuchi
Alabama,Male,western_europe,5,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,5,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,5,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,-3.20662296715568e-09,horiuchi
Alabama,Male,western_europe,5,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,1.15609267714589e-07,horiuchi
Alabama,Male,western_europe,5,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,5,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,5,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,3.32248721579553e-06,horiuchi
Alabama,Male,western_europe,5,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.000194291319015716,horiuchi
Alabama,Male,western_europe,5,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,1.42952162499599e-05,horiuchi
Alabama,Male,western_europe,5,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,9.47139759027715e-05,horiuchi
Alabama,Male,western_europe,5,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,5,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,8.4260186938856e-08,horiuchi
Alabama,Male,western_europe,5,Violence,0.346247403625507,0.188074905076724,0.158172498548784,5.38959076735734e-05,horiuchi
Alabama,Male,western_europe,10,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,6.23695073587172e-07,horiuchi
Alabama,Male,western_europe,10,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,2.515845098916e-08,horiuchi
Alabama,Male,western_europe,10,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,4.2551324516138e-06,horiuchi
Alabama,Male,western_europe,10,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,2.77196692821669e-07,horiuchi
Alabama,Male,western_europe,10,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,1.52100190420335e-06,horiuchi
Alabama,Male,western_europe,10,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,4.41956429786394e-07,horiuchi
Alabama,Male,western_europe,10,Lower respiratory infections,0.346247403625507,0.188074905076724,0.158172498548784,1.30919127497853e-05,horiuchi
Alabama,Male,western_europe,10,Malaria,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,10,Maternal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,10,Mental and substance use disorders,0.346247403625507,0.188074905076724,0.158172498548784,-8.11931000210819e-09,horiuchi
Alabama,Male,western_europe,10,NCDs strongly linked to infections,0.346247403625507,0.188074905076724,0.158172498548784,-1.67577502874217e-07,horiuchi
Alabama,Male,western_europe,10,NCDs strongly linked to tobacco use,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,10,Neonatal conditions,0.346247403625507,0.188074905076724,0.158172498548784,0,horiuchi
Alabama,Male,western_europe,10,Neurological conditions,0.346247403625507,0.188074905076724,0.158172498548784,3.30827450489846e-06,horiuchi
Alabama,Male,western_europe,10,Other,0.346247403625507,0.188074905076724,0.158172498548784,0.000249809664916834,horiuchi
Alabama,Male,western_europe,10,Respiratory disease / tobacco-related sensitivity,0.346247403625507,0.188074905076724,0.158172498548784,1.98385230851805e-05,horiuchi
Alabama,Male,western_europe,10,Road injury,0.346247403625507,0.188074905076724,0.158172498548784,0.00011575715327361,horiuchi
Alabama,Male,western_europe,10,Suicide,0.346247403625507,0.188074905076724,0.158172498548784,0.00010808739451873,horiuchi
Alabama,Male,western_europe,10,Tuberculosis,0.346247403625507,0.188074905076724,0.158172498548784,9.53132934800038e-08,horiuchi
Alabama,Male,western_europe,10,Violence,0.346247403625507,0.188074905076724,0.158172498548784,8.87706989439741e-05,horiuchi
Alabama,Male,western_europe,15,Atherosclerotic CVDs,0.346247403625507,0.188074905076724,0.158172498548784,1.35326422009419e-05,horiuchi
Alabama,Male,western_europe,15,Childhood-cluster diseases,0.346247403625507,0.188074905076724,0.158172498548784,4.59727560464529e-08,horiuchi
Alabama,Male,western_europe,15,Diabetes,0.346247403625507,0.188074905076724,0.158172498548784,1.30091658301357e-05,horiuchi
Alabama,Male,western_europe,15,Diarrheal diseases,0.346247403625507,0.188074905076724,0.158172498548784,2.2493188556183e-07,horiuchi
Alabama,Male,western_europe,15,Haemorrhagic stroke,0.346247403625507,0.188074905076724,0.158172498548784,6.11172425646345e-06,horiuchi
Alabama,Male,western_europe,15,HIV/AIDS,0.346247403625507,0.188074905076724,0.158172498548784,1.57453883620207e-06,horiuchi
