state,sex,reference,method,cause_group,contribution,ppd_gap,contribution_pct,rnk
Connecticut,Male,western_europe,stepwise,Atherosclerotic CVDs,0.00606867658182997,0.049579924783041,12.2401891660509,4
Connecticut,Male,western_europe,stepwise,Diabetes,0.00437066584615053,0.049579924783041,8.81539426547404,5
Delaware,Female,local_best3,horiuchi,Mental and substance use disorders,0.0107895843723808,0.0389254319104043,27.7185989797504,1
Delaware,Female,local_best3,horiuchi,Other,0.0098639004383434,0.0389254319104043,25.3405035069293,2
Delaware,Female,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00820742380238282,0.0389254319104043,21.0849909675352,3
Delaware,Female,local_best3,horiuchi,Atherosclerotic CVDs,0.00362849159973289,0.0389254319104043,9.32164762637619,4
Delaware,Female,local_best3,horiuchi,Road injury,0.00161506888433849,0.0389254319104043,4.14913542399718,5
Delaware,Female,local_best3,stepwise,Mental and substance use disorders,0.0107894874543269,0.0389254319104043,27.7183499958622,1
Delaware,Female,local_best3,stepwise,Other,0.00986418606584083,0.0389254319104043,25.3412372881192,2
Delaware,Female,local_best3,stepwise,NCDs strongly linked to tobacco use,0.00820726382940518,0.0389254319104043,21.0845799946319,3
Delaware,Female,local_best3,stepwise,Atherosclerotic CVDs,0.00362836245575321,0.0389254319104043,9.32131585361649,4
Delaware,Female,local_best3,stepwise,Road injury,0.00161512863168545,0.0389254319104043,4.1492889157994,5
Delaware,Female,western_europe,horiuchi,Mental and substance use disorders,0.0238351141673118,0.0643022307585277,37.0673208163167,1
Delaware,Female,western_europe,horiuchi,Atherosclerotic CVDs,0.00801148861957013,0.0643022307585277,12.4591145984584,2
Delaware,Female,western_europe,horiuchi,NCDs strongly linked to tobacco use,0.00780594576716542,0.0643022307585277,12.1394633982122,3
Delaware,Female,western_europe,horiuchi,Other,0.00614715403214761,0.0643022307585277,9.55978347816864,4
Delaware,Female,western_europe,horiuchi,Diabetes,0.00510255209328814,0.0643022307585277,7.93526450497433,5
Delaware,Female,western_europe,stepwise,Mental and substance use disorders,0.023834041217776,0.0643022307585277,37.0656522124082,1
Delaware,Female,western_europe,stepwise,Atherosclerotic CVDs,0.00801084833049526,0.0643022307585277,12.4581188490617,2
Delaware,Female,western_europe,stepwise,NCDs strongly linked to tobacco use,0.00780610850937519,0.0643022307585277,12.1397164877362,3
Delaware,Female,western_europe,stepwise,Other,0.00614820361470653,0.0643022307585277,9.56141574278301,4
Delaware,Female,western_europe,stepwise,Diabetes,0.00510226730092739,0.0643022307585277,7.93482160842566,5
Delaware,Male,local_best3,horiuchi,Mental and substance use disorders,0.032736108826943,0.0667557835295755,49.0386107331653,1
Delaware,Male,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.00912595677631989,0.0667557835295755,13.6706608683227,2
Delaware,Male,local_best3,horiuchi,Other,0.00799620465554718,0.0667557835295755,11.9782949622703,3
Delaware,Male,local_best3,horiuchi,Atherosclerotic CVDs,0.00638882310188338,0.0667557835295755,9.57044133719572,4
Delaware,Male,local_best3,horiuchi,Road injury,0.00283014213474908,0.0667557835295755,4.23954597655979,5
Delaware,Male,local_best3,stepwise,Mental and substance use disorders,0.0327337667755404,0.0667557835295755,49.0351023459084,1
Delaware,Male,local_best3,stepwise,NCDs strongly linked to tobacco use,0.0091264425026803,0.0667557835295755,13.6713884852193,2
Delaware,Male,local_best3,stepwise,Other,0.00799820258866907,0.0667557835295755,11.9812878611867,3
Delaware,Male,local_best3,stepwise,Atherosclerotic CVDs,0.00638863253846872,0.0667557835295755,9.57015587366794,4
Delaware,Male,local_best3,stepwise,Road injury,0.00283050112544614,0.0667557835295755,4.24008374374351,5
Delaware,Male,western_europe,horiuchi,Mental and substance use disorders,0.0554285557978262,0.0958049325619027,57.8556388649531,1
Delaware,Male,western_europe,horiuchi,Atherosclerotic CVDs,0.010348852480271,0.0958049325619027,10.8020038254129,2
Delaware,Male,western_europe,horiuchi,Diabetes,0.00728131782524377,0.0958049325619027,7.60014920999926,3
Delaware,Male,western_europe,horiuchi,Road injury,0.00684963234136937,0.0958049325619027,7.14956125765612,4
Delaware,Male,western_europe,horiuchi,Violence,0.00510600429431596,0.0958049325619027,5.32958393453991,5
Delaware,Male,western_europe,stepwise,Mental and substance use disorders,0.0554198683441314,0.0958049325619027,57.8465710085677,1
Delaware,Male,western_europe,stepwise,Atherosclerotic CVDs,0.0103498023380383,0.0958049325619027,10.802995275166,2
Delaware,Male,western_europe,stepwise,Diabetes,0.00728219201261499,0.0958049325619027,7.60106167593169,3
Delaware,Male,western_europe,stepwise,Road injury,0.00685061428070149,0.0958049325619027,7.15058619374852,4
Delaware,Male,western_europe,stepwise,Violence,0.00510659928023194,0.0958049325619027,5.33020497345729,5
District of Columbia,Female,local_best3,horiuchi,Other,0.0366053531520755,0.0866759047825337,42.2324442345503,1
District of Columbia,Female,local_best3,horiuchi,Mental and substance use disorders,0.0134048949422811,0.0866759047825337,15.4655379438074,2
District of Columbia,Female,local_best3,horiuchi,Atherosclerotic CVDs,0.0133276820484679,0.0866759047825337,15.3764556388612,3
