state,year,sex,l0,l70,ppd,ppd_pct
Alabama,1990,Male,1e+05,59208.2086922255,0.407917913077745,40.7917913077745
Alabama,1990,Female,1e+05,76375.8760089118,0.236241239910882,23.6241239910882
Alabama,1991,Male,1e+05,59254.5807171951,0.407454192828049,40.7454192828049
Alabama,1991,Female,1e+05,76360.2825426381,0.236397174573619,23.6397174573619
Alabama,1992,Male,1e+05,59855.1146033165,0.401448853966835,40.1448853966835
Alabama,1992,Female,1e+05,76417.8267784184,0.235821732215816,23.5821732215816
Alabama,1993,Male,1e+05,59856.8397308629,0.401431602691371,40.1431602691371
Alabama,1993,Female,1e+05,75554.1948619983,0.244458051380017,24.4458051380017
Alabama,1994,Male,1e+05,59985.9755842971,0.400140244157029,40.0140244157029
Alabama,1994,Female,1e+05,75774.5572994366,0.242254427005634,24.2254427005634
Alabama,1995,Male,1e+05,59795.7653097688,0.402042346902312,40.2042346902312
Alabama,1995,Female,1e+05,75855.4759769715,0.241445240230285,24.1445240230285
Alabama,1996,Male,1e+05,60314.2910647188,0.396857089352812,39.6857089352812
Alabama,1996,Female,1e+05,75965.2169943036,0.240347830056964,24.0347830056964
Alabama,1997,Male,1e+05,61192.5575584277,0.388074424415723,38.8074424415723
Alabama,1997,Female,1e+05,76106.8212420429,0.238931787579571,23.8931787579571
Alabama,1998,Male,1e+05,61779.9023242302,0.382200976757698,38.2200976757698
Alabama,1998,Female,1e+05,76209.3626896016,0.237906373103984,23.7906373103984
Alabama,1999,Male,1e+05,62052.0662605704,0.379479337394296,37.9479337394296
Alabama,1999,Female,1e+05,76185.6031272087,0.238143968727914,23.8143968727914
Alabama,2000,Male,1e+05,62627.5864280611,0.373724135719389,37.3724135719389
Alabama,2000,Female,1e+05,76163.6107574302,0.238363892425699,23.8363892425699
Alabama,2001,Male,1e+05,63067.0252205271,0.36932974779473,36.932974779473
Alabama,2001,Female,1e+05,76310.4837305928,0.236895162694072,23.6895162694072
Alabama,2002,Male,1e+05,63173.6688421824,0.368263311578176,36.8263311578176
Alabama,2002,Female,1e+05,76400.7337804734,0.235992662195266,23.5992662195266
Alabama,2003,Male,1e+05,63173.9147650263,0.368260852349737,36.8260852349737
Alabama,2003,Female,1e+05,76277.9201466937,0.237220798533063,23.7220798533063
Alabama,2004,Male,1e+05,63624.1362596085,0.363758637403915,36.3758637403915
Alabama,2004,Female,1e+05,76368.5962664404,0.236314037335596,23.6314037335596
Alabama,2005,Male,1e+05,63545.4261731707,0.364545738268294,36.4545738268294
Alabama,2005,Female,1e+05,76275.0133611702,0.237249866388298,23.7249866388298
Alabama,2006,Male,1e+05,63585.8626297482,0.364141373702518,36.4141373702518
Alabama,2006,Female,1e+05,76485.7201811853,0.235142798188147,23.5142798188147
Alabama,2007,Male,1e+05,64131.6458264293,0.358683541735707,35.8683541735707
Alabama,2007,Female,1e+05,76925.9420342898,0.230740579657102,23.0740579657102
Alabama,2008,Male,1e+05,64420.8593308814,0.355791406691186,35.5791406691186
Alabama,2008,Female,1e+05,76777.2292362496,0.232227707637504,23.2227707637504
Alabama,2009,Male,1e+05,64797.6860635247,0.352023139364753,35.2023139364753
Alabama,2009,Female,1e+05,76989.4054830377,0.230105945169623,23.0105945169623
Alabama,2010,Male,1e+05,65235.6279543498,0.347643720456502,34.7643720456502
Alabama,2010,Female,1e+05,77290.9499499463,0.227090500500537,22.7090500500537
Alabama,2011,Male,1e+05,65264.0553292931,0.347359446707069,34.7359446707069
Alabama,2011,Female,1e+05,77187.7017370101,0.228122982629899,22.8122982629899
Alabama,2012,Male,1e+05,65406.3041710361,0.34593695828964,34.593695828964
Alabama,2012,Female,1e+05,77360.7050692249,0.226392949307751,22.6392949307751
Alabama,2013,Male,1e+05,65328.1677202831,0.346718322797169,34.6718322797169
Alabama,2013,Female,1e+05,77182.3934800442,0.228176065199558,22.8176065199558
Alabama,2014,Male,1e+05,65603.0052318888,0.343969947681112,34.3969947681112
Alabama,2014,Female,1e+05,76997.7914680316,0.230022085319684,23.0022085319684
Alabama,2015,Male,1e+05,65245.6449520481,0.347543550479519,34.7543550479519
Alabama,2015,Female,1e+05,76978.5024263619,0.230214975736382,23.0214975736382
Alabama,2016,Male,1e+05,64877.4724191018,0.351225275808983,35.1225275808983
Alabama,2016,Female,1e+05,76896.8064485791,0.231031935514209,23.1031935514209
Alabama,2017,Male,1e+05,64802.7319406877,0.351972680593123,35.1972680593123
Alabama,2017,Female,1e+05,77069.3445861961,0.229306554138039,22.9306554138039
Alabama,2018,Male,1e+05,65014.424818597,0.34985575181403,34.985575181403
Alabama,2018,Female,1e+05,77146.138801359,0.228538611986411,22.8538611986411
Alabama,2019,Male,1e+05,65379.4121655833,0.346205878344167,34.6205878344167
Alabama,2019,Female,1e+05,77437.8818724093,0.225621181275907,22.5621181275907
Alabama,2020,Male,1e+05,60350.9394983392,0.396490605016608,39.6490605016608
Alabama,2020,Female,1e+05,73809.0224062699,0.261909775937301,26.1909775937301
Alabama,2021,Male,1e+05,56110.937745681,0.43889062254319,43.889062254319
