state,sex,year_start,year_end,ppd_start,ppd_end,aari
Kansas,Male,2000,2010,0.289396934946536,0.269761479347468,0.00705084743027129
Kansas,Female,2000,2010,0.194862807492035,0.176596546465513,0.00989140243856745
Kentucky,Male,2000,2010,0.354352114988341,0.330555349489954,0.00697591680194987
Kentucky,Female,2000,2010,0.230039644277879,0.225588773857555,0.00195570022991309
Louisiana,Male,2000,2010,0.379108835592929,0.340327062830249,0.010850062015169
Louisiana,Female,2000,2010,0.249161485965671,0.222595798247543,0.0113381613309702
Maine,Male,2000,2010,0.283182313089002,0.248618951126514,0.0131020391433383
Maine,Female,2000,2010,0.187230029616832,0.15892464550713,0.0165258461302806
Maryland,Male,2000,2010,0.315569001338352,0.258002665889474,0.0203449378606642
Maryland,Female,2000,2010,0.207994314134963,0.168744587136713,0.0211326465830766
Massachusetts,Male,2000,2010,0.271503540942859,0.224128953368345,0.0193603890574776
Massachusetts,Female,2000,2010,0.176953655022937,0.141665624744325,0.02249102733895
Michigan,Male,2000,2010,0.313840568082072,0.278583487247589,0.0119880194306679
Michigan,Female,2000,2010,0.212004194585952,0.186588861760238,0.0128517290691288
Minnesota,Male,2000,2010,0.247721054330695,0.212853871091098,0.0152853899275678
Minnesota,Female,2000,2010,0.161823177063071,0.139060237820922,0.0152751946334031
Mississippi,Male,2000,2010,0.398624443375693,0.361382727233103,0.00985647278279767
Mississippi,Female,2000,2010,0.256440526142992,0.240152388613028,0.00658388877482863
Missouri,Male,2000,2010,0.32345309804293,0.295070032852566,0.00922644290539543
Missouri,Female,2000,2010,0.21620978428673,0.19579785045339,0.00996597363383223
Montana,Male,2000,2010,0.284784773508799,0.256981626532686,0.0103258599233691
Montana,Female,2000,2010,0.187389948901035,0.172734953047287,0.00817658491336881
Nebraska,Male,2000,2010,0.271218887704109,0.242040696145883,0.0114470538518912
Nebraska,Female,2000,2010,0.179927181916804,0.159582900011287,0.0120711439745334
Nevada,Male,2000,2010,0.328231568587074,0.283582049357516,0.0147292076491283
Nevada,Female,2000,2010,0.213336246432768,0.185665984095981,0.0139889693752664
New Hampshire,Male,2000,2010,0.264595317487193,0.219754054024789,0.0187427378134228
New Hampshire,Female,2000,2010,0.171792747216709,0.143411447355412,0.0182211191373511
New Jersey,Male,2000,2010,0.289842213808086,0.233962927012633,0.0216484000588952
New Jersey,Female,2000,2010,0.190429582413235,0.151770010957107,0.0229510323352309
New Mexico,Male,2000,2010,0.301422396187302,0.283480666000432,0.00615573587699636
New Mexico,Female,2000,2010,0.183479404945171,0.176030633232363,0.00415303948729595
New York,Male,2000,2010,0.287934680619525,0.235633006705526,0.0202480778132559
New York,Female,2000,2010,0.188012738323675,0.151545963245439,0.0217962164588283
North Carolina,Male,2000,2010,0.337937389853997,0.286584592221283,0.0166192777162923
North Carolina,Female,2000,2010,0.214634498870445,0.184699424397345,0.0151340579236217
North Dakota,Male,2000,2010,0.272369645506348,0.244877156515291,0.0106971549571615
North Dakota,Female,2000,2010,0.171516633648468,0.15335943418731,0.0112524217354635
Ohio,Male,2000,2010,0.316585562581838,0.288725562637838,0.00925425003675473
Ohio,Female,2000,2010,0.212478298927436,0.193475314412278,0.00941301942409511
Oklahoma,Male,2000,2010,0.344457520985516,0.337366671789513,0.00208220386761715
Oklahoma,Female,2000,2010,0.232589490926631,0.231955135557442,0.000273145940873354
Oregon,Male,2000,2010,0.275151125252634,0.245880895819753,0.0113108127238364
Oregon,Female,2000,2010,0.189966145030434,0.162623586662606,0.0156621482661596
Pennsylvania,Male,2000,2010,0.308781309265158,0.271854898139066,0.0128179372539692
Pennsylvania,Female,2000,2010,0.201315541046215,0.17395901788514,0.0147125588134578
Rhode Island,Male,2000,2010,0.277280625929465,0.244799666801308,0.0125369259245294
Rhode Island,Female,2000,2010,0.187001260067405,0.155051822772004,0.0189122078884547
South Carolina,Male,2000,2010,0.369336321510756,0.319081822108347,0.0147334938492805
South Carolina,Female,2000,2010,0.230144053755995,0.200873705588081,0.0136958457962797
South Dakota,Male,2000,2010,0.287098905850133,0.24845581771784,0.0145611700478661
South Dakota,Female,2000,2010,0.180583439020957,0.164224307638372,0.00954120120699464
Tennessee,Male,2000,2010,0.358923953089981,0.325308540298871,0.00988215411068238
Tennessee,Female,2000,2010,0.230736694048661,0.213735092596031,0.00768335108000939
Texas,Male,2000,2010,0.309511737661579,0.269889017132414,0.0137927735174392
Texas,Female,2000,2010,0.201663943754414,0.176485474811754,0.0134257355516609
Utah,Male,2000,2010,0.248321412899655,0.224631772301803,0.0100765734532351
Utah,Female,2000,2010,0.168771491101323,0.149094062588382,0.0124739868833592
Vermont,Male,2000,2010,0.263479113368205,0.225222663557468,0.0158121669358395
Vermont,Female,2000,2010,0.177633530228857,0.142693942620597,0.022143664054239
Virginia,Male,2000,2010,0.298939864017152,0.250940556947368,0.0176567029908845
Virginia,Female,2000,2010,0.200197090635229,0.165381855563003,0.0192881849885209
Washington,Male,2000,2010,0.266826513987546,0.229439786451539,0.0152103232167014
Washington,Female,2000,2010,0.180480454303684,0.15248772381705,0.0169966664413952
