state,sex,ppd_baseline,ppd_2050_target,required_aari,observed_aari_2010_2019,performance_group,implied_ppd_2050,implied_reduction_2050
Alabama,Male,0.370628518310752,0.185314259155376,0.0260044847070386,0.000460610641058734,Low or worsening,0.366048792962485,0.0123566458650836
Alabama,Female,0.241474665721287,0.120737332860643,0.0260044847070386,0.000721506249117043,Low or worsening,0.236817764536045,0.0192852578192053
Alaska,Male,0.320817991676777,0.160408995838388,0.0260044847070386,0.000233191742940786,Low or worsening,0.31880464438201,0.00627566828232928
Alaska,Female,0.213074006336753,0.106537003168376,0.0260044847070386,-0.00328476082893936,Low or worsening,0.232868536993199,-0.0928997910010769
Arizona,Male,0.295224532879157,0.147612266439579,0.0260044847070386,-0.00657761098478993,Low or worsening,0.352806004233161,-0.195042975569965
Arizona,Female,0.179039676875941,0.0895198384379703,0.0260044847070386,-0.0046511413145679,Low or worsening,0.203055879796353,-0.134138998346459
Arkansas,Male,0.362043948522874,0.181021974261437,0.0260044847070386,-0.00017471878783859,Low or worsening,0.363756041995849,-0.00472896586163296
Arkansas,Female,0.245535667768581,0.12276783388429,0.0260044847070386,-0.00475686563978828,Low or worsening,0.279271392581953,-0.137396432542614
California,Male,0.238690725572559,0.119345362786279,0.0260044847070386,0.00158328139440966,Low or worsening,0.228709785334921,0.0418153667835062
California,Female,0.139352773498527,0.0696763867492634,0.0260044847070386,0.00771058495080434,Low or worsening,0.113252674303228,0.18729515416193
Colorado,Male,0.248805095468146,0.124402547734073,0.0260044847070386,-0.00363839929659049,Low or worsening,0.27453692489619,-0.103421633627027
Colorado,Female,0.151494194740881,0.0757470973704407,0.0260044847070386,0.00253878894469617,Low or worsening,0.141469885447308,0.0661695935657443
Connecticut,Male,0.231232532209409,0.115616266104705,0.0260044847070386,-0.00577059614457409,Low or worsening,0.270340213833514,-0.169127074163974
Connecticut,Female,0.137347287126487,0.0686736435632434,0.0260044847070386,0.00280846736298068,Low or worsening,0.127331041891896,0.0729264148141978
Delaware,Male,0.294925129598663,0.147462564799332,0.0260044847070386,-0.000515122514013977,Low or worsening,0.299056768779318,-0.0140091120287964
Delaware,Female,0.1828392460902,0.0914196230450998,0.0260044847070386,0.0042456307236971,Low or worsening,0.163076262035675,0.108089398075812
District of Columbia,Male,0.335961667773268,0.167980833886634,0.0260044847070386,-0.00467033315958731,Low or worsening,0.381225646162467,-0.134729591888281
District of Columbia,Female,0.215532760989445,0.107766380494722,0.0260044847070386,0.00139663323070915,Low or worsening,0.207562008736002,0.0369816273723383
Florida,Male,0.27681968421999,0.138409842109995,0.0260044847070386,-9.82726743681273e-05,Low or worsening,0.277555198611089,-0.00265701622040293
Florida,Female,0.170953981642965,0.0854769908214826,0.0260044847070386,-1.66923705330335e-05,Low or worsening,0.171031047586002,-0.000450799345507624
Georgia,Male,0.306267008875945,0.153133504437972,0.0260044847070386,0.00120267398128338,Low or worsening,0.296487367786519,0.0319317484613134
Georgia,Female,0.200923779309202,0.100461889654601,0.0260044847070386,0.00189087707861257,Low or worsening,0.190932536757655,0.0497265310552031
Hawaii,Male,0.256446912200783,0.128223456100392,0.0260044847070386,0.00227044157320444,Low or worsening,0.241215141067884,0.0593954163931371
Hawaii,Female,0.141997697875705,0.0709988489378525,0.0260044847070386,0.00398750527014058,Low or worsening,0.127531358935427,0.101877277988978
Idaho,Male,0.24210777143143,0.121053885715715,0.0260044847070386,0.00585596462182547,Low or worsening,0.20679605491511,0.145851231075915
Idaho,Female,0.159974377045635,0.0799871885228177,0.0260044847070386,0.00775665794366631,Low or worsening,0.129851560546436,0.188297757775339
Illinois,Male,0.269570356468104,0.134785178234052,0.0260044847070386,-9.30513354391316e-05,Low or worsening,0.270248504352726,-0.00251566193519071
