state,sex,1990–2019,2000–2010,2010–2019,2019–2023
Alabama,Female,0.00158733027344238,0.0048567406290978,0.000721506249117043,-0.0168334963091175
Alabama,Male,0.00567231453261696,0.00726020407622685,0.000460610641058734,-0.016897272376761
Alaska,Female,0.00532856270349402,0.0113534924449905,-0.00328476082893936,-0.0367316293064353
Alaska,Male,0.00974805116601818,0.00968169714989764,0.000233191742940786,-0.0479345045099584
Arizona,Female,0.00579172057675326,0.0145048122984333,-0.0046511413145679,-0.0150178212146083
Arizona,Male,0.00703586335830231,0.0145041710565874,-0.00657761098478993,-0.0172809017975089
Arkansas,Female,-0.000542219259524024,0.00310293571519082,-0.00475686563978828,-0.0159201005979021
Arkansas,Male,0.0046331613526156,0.00484254441020005,-0.00017471878783859,-0.0158517011781308
California,Female,0.0143229644691618,0.0211297091960676,0.00771058495080434,-0.00695442455762108
California,Male,0.0143249564630017,0.0173653007847165,0.00158328139440966,-0.0169143537448754
Colorado,Female,0.00845767688049093,0.0175520434505114,0.00253878894469617,-0.0107125247755785
Colorado,Male,0.00883087580738939,0.0115158829877906,-0.00363839929659049,-0.0171999240121986
Connecticut,Female,0.011530655332727,0.0225773680218222,0.00280846736298068,-0.00237901324172285
Connecticut,Male,0.0102462226985713,0.0201716198065751,-0.00577059614457409,-0.000686094589416153
Delaware,Female,0.0102495881980496,0.0136625511481916,0.0042456307236971,-0.0157747584298146
Delaware,Male,0.00884853564576726,0.0109318686691333,-0.000515122514013977,-0.0151349043590931
District of Columbia,Female,0.0136190956333528,0.0221845164493171,0.00139663323070915,0.00482415533482095
District of Columbia,Male,0.0177139524892251,0.0324869216733008,-0.00467033315958731,0.00452676035233646
Florida,Female,0.00625270986228488,0.0122306640846916,-1.66923705330335e-05,-0.00530248112315912
Florida,Male,0.00894407815205955,0.0125485335662241,-9.82726743681273e-05,-0.00381189361188761
Georgia,Female,0.00734817958837608,0.0148271732250471,0.00189087707861257,-0.0102424996206536
Georgia,Male,0.0114017956236401,0.0165602384171399,0.00120267398128338,-0.0110379087986553
Hawaii,Female,0.00866963331796677,0.016651257091153,0.00398750527014058,-0.0213799869393898
Hawaii,Male,0.00663089051610677,0.00821058838208577,0.00227044157320444,-0.0255990320504964
Idaho,Female,0.00755366487648312,0.012398138626494,0.00775665794366631,-0.0159179871951793
Idaho,Male,0.00951352431660868,0.0102595023972487,0.00585596462182547,-0.0171557289476121
Illinois,Female,0.0105604891544739,0.0199451520372669,0.00347621218626948,-0.000435359291898862
Illinois,Male,0.0118378725050576,0.0188923678715967,-9.30513354391316e-05,-0.00944067254292924
Indiana,Female,0.00241949219346993,0.0109163634039002,-0.00250069225508809,-0.00792330317291823
Indiana,Male,0.00541341451119437,0.0101303528863952,-0.00319935729580834,-0.00883187879017489
Iowa,Female,0.00338478272584064,0.00850373278961336,9.76718559559941e-05,-0.0144125572881959
Iowa,Male,0.00621744221030229,0.00858615805294227,-0.00339104041671712,-0.00789145233899558
Kansas,Female,0.00198492167464903,0.00989140243856745,-0.00273784111313657,-0.012182533043156
Kansas,Male,0.00542314152740886,0.00705084743027129,-0.00052900485242946,-0.0104786084223684
Kentucky,Female,-6.22962463627808e-05,0.00195570022991309,-0.00343190128650139,-0.0165560625495963
Kentucky,Male,0.00392236447990468,0.00697591680194987,-0.00556312232989831,-0.0115788315145208
Louisiana,Female,0.00437809801724365,0.0113381613309702,-0.000896646753188124,-0.00851605778815634
Louisiana,Male,0.00697720959981596,0.010850062015169,-0.00120462020895418,-0.0188998735458791
Maine,Female,0.00850922855660841,0.0165258461302806,0.00216711932241798,-0.0353751519198223
Maine,Male,0.00809888613717336,0.0131020391433383,-0.00563284382612361,-0.0202046181322354
Maryland,Female,0.0104824333574407,0.0211326465830766,0.00137956744628598,0.002040202905081
Maryland,Male,0.0107892399985419,0.0203449378606642,-0.0040084398984348,-0.00107156460004743
Massachusetts,Female,0.0133395191821799,0.02249102733895,0.00704472152344637,-0.00303238502771597
Massachusetts,Male,0.0133080799118865,0.0193603890574776,0.00121659864147228,0.00222736237243648
Michigan,Female,0.00684531246561781,0.0128517290691288,0.00149228057238782,-0.00292701315848853
Michigan,Male,0.00852239652127329,0.0119880194306679,0.000571528359786244,-0.00674303807184928
Minnesota,Female,0.00801110491549717,0.0152751946334031,0.00126247276363323,-0.0134819981850618
Minnesota,Male,0.0107622257738063,0.0152853899275678,0.000965276592090003,-0.0138237544728509
Mississippi,Female,0.000541858886562219,0.00658388877482863,-0.00234135754678777,-0.0161524429245906
Mississippi,Male,0.00401365769425444,0.00985647278279767,-0.0054944091269199,-0.0070912151185446
Missouri,Female,0.00248064831320294,0.00996597363383223,-0.00203419381264325,-0.00821378118462612
Missouri,Male,0.00519707603443775,0.00922644290539543,-0.00559008785644599,-0.00978345212569476
Montana,Female,0.00603714395426147,0.00817658491336881,0.00339384766686512,-0.0206219269213189
Montana,Male,0.00650798598951297,0.0103258599233691,-0.000919470219545082,-0.0052467668481988
Nebraska,Female,0.00604755690501779,0.0120711439745334,0.000898123221364955,-0.0108201024484703
Nebraska,Male,0.00922740829371582,0.0114470538518912,0.000904469824091203,-0.0110245974046571
Nevada,Female,0.00850662600323471,0.0139889693752664,0.00271498969023143,-0.00330540410842717
Nevada,Male,0.00968340858813632,0.0147292076491283,0.00113658378949189,-0.015759005807361
New Hampshire,Female,0.0116068643516667,0.0182211191373511,0.0031121798011049,-0.0218596483198531
New Hampshire,Male,0.0106847436175317,0.0187427378134228,-0.00543373874193986,-0.0130997008447539
New Jersey,Female,0.0146795611544013,0.0229510323352309,0.0077892407481317,0.0105905479543096
New Jersey,Male,0.0143258929839687,0.0216484000588952,0.00256577033667171,0.0111493974986703
New Mexico,Female,0.00133217368776939,0.00415303948729595,-0.0106702408323767,-0.0223554179511158
New Mexico,Male,0.00217056369137847,0.00615573587699636,-0.0103848359321227,-0.0361032888172282
New York,Female,0.0166722560886039,0.0217962164588283,0.0108934890677832,-0.00428962162838698
New York,Male,0.0182718326418621,0.0202480778132559,0.00692243297925388,-0.00947834952400683
North Carolina,Female,0.00619364719541093,0.0151340579236217,-0.000507679106755532,-0.0216721012408916
North Carolina,Male,0.00978299983600839,0.0166192777162923,-0.00190936399160435,-0.0201081454773563
North Dakota,Female,0.00290526321455831,0.0112524217354635,-0.00289826210349176,-0.0217064629002248
North Dakota,Male,0.00638257051453506,0.0106971549571615,-0.001925070286945,-0.0157837243609419
Ohio,Female,0.00347029972196622,0.00941301942409511,-0.00384542208691463,-0.00163081139428201
Ohio,Male,0.00535246600344341,0.00925425003675473,-0.00490060334907316,-0.00706701045605229
Oklahoma,Female,-0.000631363423502451,0.000273145940873354,0.0016456615614846,-0.0165533041250817
Oklahoma,Male,0.00266651443334731,0.00208220386761715,0.000442797855406907,-0.0144536874615299
Oregon,Female,0.00829197202651466,0.0156621482661596,0.00536674955459149,-0.0241523249101271
Oregon,Male,0.00980684134111787,0.0113108127238364,0.00144479403792452,-0.0345826472586961
Pennsylvania,Female,0.00804012179826263,0.0147125588134578,0.00287088674369618,-0.00656285898107312
Pennsylvania,Male,0.00969280221922952,0.0128179372539692,0.00226877784770685,-0.00577709664280279
Rhode Island,Female,0.0109865669162423,0.0189122078884547,0.00927479171399992,-0.0150060958246758
Rhode Island,Male,0.0117558187719797,0.0125369259245294,0.00413001212854858,-0.00441915553607875
South Carolina,Female,0.00593152562847332,0.0136958457962797,-0.00178936071665514,-0.0109775526644414
South Carolina,Male,0.00811743916013796,0.0147334938492805,-0.00209084002036564,-0.0120674502514249
South Dakota,Female,0.00276035808106112,0.00954120120699464,-0.00165185432536419,-0.0289690384819339
South Dakota,Male,0.0078495844160833,0.0145611700478661,-0.00234054047215804,-0.00255735424153059
Tennessee,Female,0.000247867326635287,0.00768335108000939,-0.00502960754156256,-0.0140546734622685
Tennessee,Male,0.00490586291210682,0.00988215411068238,-0.00530444892163495,-0.0139424560697536
Texas,Female,0.00779122817909927,0.0134257355516609,0.00366774589641272,-0.0107645311326751
Texas,Male,0.0108815720669095,0.0137927735174392,0.001004182604885,-0.00944199634104881
Utah,Female,0.00609822347590638,0.0124739868833592,0.00187005888085912,-0.000526258285427961
Utah,Male,0.00795055372636644,0.0100765734532351,0.00475946123829263,-0.00945916856992068
Vermont,Female,0.00870798528876238,0.022143664054239,-0.00219558528165464,-0.0174233187261258
Vermont,Male,0.0115221770653384,0.0158121669358395,-0.00370724677449141,-0.0281623915357061
Virginia,Female,0.00935412610170583,0.0192881849885209,-0.000113785961499135,-0.0134004143886731
Virginia,Male,0.0121777754483488,0.0176567029908845,-0.00103748599527764,-0.0129913995668437
Washington,Female,0.00912037120587317,0.0169966664413952,0.00300847547799887,-0.0202433651192478
Washington,Male,0.0102769642737366,0.0152103232167014,0.000789457016879824,-0.0308435643285092
West Virginia,Female,-0.0017389385333938,0.000434758205009489,-0.00742785652699707,-0.02364923210827
West Virginia,Male,0.00225392848165185,0.00258700966156322,-0.00712518486421987,-0.0138040922942396
Wisconsin,Female,0.00611134234575594,0.0151557960085993,-0.000389042102104664,-0.0103468059898106
Wisconsin,Male,0.00906823331731754,0.0157910128792702,-0.00137835712104595,-0.0124730720105328
Wyoming,Female,0.00381706301105966,0.0107439838190206,-0.00116664401397526,-0.014343173374315
Wyoming,Male,0.00659605836210053,0.00976033029367551,-0.00138710262539443,-0.0128680948482539
