state,sex,ppd_baseline,ppd_2050_target,required_aari,observed_aari_2010_2019,implied_ppd_2050,implied_reduction_2050,performance_group
West Virginia,Female,0.271429468053639,0.13571473402682,0.0260044847070386,-0.00742785652699707,0.331956186195156,-0.222992435477031,Low or worsening
Mississippi,Female,0.26178089155603,0.130890445778015,0.0260044847070386,-0.00234135754678777,0.278884756676299,-0.0653365683744249,Low or worsening
Kentucky,Female,0.248746069408967,0.124373034704483,0.0260044847070386,-0.00343190128650139,0.272940350856699,-0.0972649799259912,Low or worsening
Arkansas,Female,0.245535667768581,0.12276783388429,0.0260044847070386,-0.00475686563978828,0.279271392581953,-0.137396432542614,Low or worsening
Oklahoma,Female,0.24432823710938,0.12216411855469,0.0260044847070386,0.0016456615614846,0.233718222834955,0.043425247936755,Low or worsening
Alabama,Female,0.241474665721287,0.120737332860643,0.0260044847070386,0.000721506249117043,0.236817764536045,0.0192852578192053,Low or worsening
Tennessee,Female,0.236686280468473,0.118343140234237,0.0260044847070386,-0.00502960754156256,0.271205711261241,-0.145844662920234,Low or worsening
Louisiana,Female,0.232209762089652,0.116104881044826,0.0260044847070386,-0.000896646753188124,0.237902620553637,-0.024516016952755,Low or worsening
District of Columbia,Female,0.215532760989445,0.107766380494722,0.0260044847070386,0.00139663323070915,0.207562008736002,0.0369816273723383,Low or worsening
South Carolina,Female,0.213352996480497,0.106676498240249,0.0260044847070386,-0.00178936071665514,0.223923409134945,-0.0495442427752055,Low or worsening
Alaska,Female,0.213074006336753,0.106537003168376,0.0260044847070386,-0.00328476082893936,0.232868536993199,-0.0928997910010769,Low or worsening
New Mexico,Female,0.212224052736832,0.106112026368416,0.0260044847070386,-0.0106702408323767,0.283521263260397,-0.335952544511893,Low or worsening
Missouri,Female,0.206107925688865,0.103053962844433,0.0260044847070386,-0.00203419381264325,0.217756858805865,-0.0565186082877009,Low or worsening
Indiana,Female,0.205906030659394,0.102953015329697,0.0260044847070386,-0.00250069225508809,0.220307248581332,-0.0699407291560115,Low or worsening
North Carolina,Female,0.202540851963993,0.101270425981996,0.0260044847070386,-0.000507679106755532,0.205336977201365,-0.0138052408205984,Low or worsening
Ohio,Female,0.201613805452331,0.100806902726165,0.0260044847070386,-0.00384542208691463,0.223716707107728,-0.109629901612184,Low or worsening
Georgia,Female,0.200923779309202,0.100461889654601,0.0260044847070386,0.00189087707861257,0.190932536757655,0.0497265310552031,Low or worsening
Wyoming,Female,0.192211624168779,0.0961058120843897,0.0260044847070386,-0.00116664401397526,0.198366186865493,-0.032019721613245,Low or worsening
Kansas,Female,0.190104037553236,0.0950520187766178,0.0260044847070386,-0.00273784111313657,0.204710047697725,-0.0768316671885472,Low or worsening
South Dakota,Female,0.18748519907512,0.0937425995375598,0.0260044847070386,-0.00165185432536419,0.196043553805076,-0.0456481619465179,Low or worsening
Michigan,Female,0.186272806929124,0.0931364034645621,0.0260044847070386,0.00149228057238782,0.17892214389439,0.0394618149364745,Low or worsening
Nevada,Female,0.183605786423849,0.0918028932119244,0.0260044847070386,0.00271498969023143,0.170645038970199,0.0705900816422524,Low or worsening
Delaware,Female,0.1828392460902,0.0914196230450998,0.0260044847070386,0.0042456307236971,0.163076262035675,0.108089398075812,Low or worsening
Montana,Female,0.182110847637796,0.0910554238188977,0.0260044847070386,0.00339384766686512,0.16619084761938,0.0874192846001068,Low or worsening
Maine,Female,0.180009790031884,0.0900048950159422,0.0260044847070386,0.00216711932241798,0.169789991082068,0.0567735729707037,Low or worsening
Arizona,Female,0.179039676875941,0.0895198384379703,0.0260044847070386,-0.0046511413145679,0.203055879796353,-0.134138998346459,Low or worsening
Texas,Female,0.178320198759344,0.0891600993796718,0.0260044847070386,0.00366774589641272,0.161536775451519,0.0941195861410784,Low or worsening
Virginia,Female,0.174730580732716,0.087365290366358,0.0260044847070386,-0.000113785961499135,0.175268247768385,-0.00307712040682362,Low or worsening
Pennsylvania,Female,0.174052457981033,0.0870262289905165,0.0260044847070386,0.00287088674369618,0.161088491191922,0.0744831008966493,Low or worsening
North Dakota,Female,0.171861461567448,0.0859307307837238,0.0260044847070386,-0.00289826210349176,0.185871465958336,-0.0815191740085932,Low or worsening
Florida,Female,0.170953981642965,0.0854769908214826,0.0260044847070386,-1.66923705330335e-05,0.171031047586002,-0.000450799345507624,Low or worsening
Oregon,Female,0.170897121805887,0.0854485609029436,0.0260044847070386,0.00536674955459149,0.147901565133958,0.134557893245555,Low or worsening
Iowa,Female,0.170697586947522,0.0853487934737608,0.0260044847070386,9.76718559559941e-05,0.170248048455943,0.00263353747183726,Low or worsening
Nebraska,Female,0.165339397697381,0.0826696988486905,0.0260044847070386,0.000898123221364955,0.161380006541435,0.0239470520099094,Low or worsening
Maryland,Female,0.165310612544032,0.0826553062720159,0.0260044847070386,0.00137956744628598,0.159270426501834,0.0365384045781603,Low or worsening
Illinois,Female,0.164409317940464,0.0822046589702318,0.0260044847070386,0.00347621218626948,0.149704625299081,0.0894395331456078,Low or worsening
Wisconsin,Female,0.162692777753704,0.0813463888768517,0.0260044847070386,-0.000389042102104664,0.164411067981366,-0.0105615642647845,Low or worsening
Washington,Female,0.16107220476445,0.0805361023822249,0.0260044847070386,0.00300847547799887,0.148523893800106,0.0779048811226865,Low or worsening
Idaho,Female,0.159974377045635,0.0799871885228177,0.0260044847070386,0.00775665794366631,0.129851560546436,0.188297757775339,Low or worsening
Vermont,Female,0.156146025761993,0.0780730128809966,0.0260044847070386,-0.00219558528165464,0.165693154015176,-0.0611423070590069,Low or worsening
New Hampshire,Female,0.152346886944815,0.0761734434724075,0.0260044847070386,0.0031121798011049,0.14008672607918,0.0804752962892913,Low or worsening
Rhode Island,Female,0.151585572877546,0.0757927864387731,0.0260044847070386,0.00927479171399992,0.118141739938629,0.220626754275185,Low or worsening
Colorado,Female,0.151494194740881,0.0757470973704407,0.0260044847070386,0.00253878894469617,0.141469885447308,0.0661695935657443,Low or worsening
Utah,Female,0.146917054739723,0.0734585273698616,0.0260044847070386,0.00187005888085912,0.139689728286576,0.0491932435342554,Low or worsening
Minnesota,Female,0.145161503281336,0.0725807516406681,0.0260044847070386,0.00126247276363323,0.140299815548888,0.0334915774675163,Low or worsening
Hawaii,Female,0.141997697875705,0.0709988489378525,0.0260044847070386,0.00398750527014058,0.127531358935427,0.101877277988978,Low or worsening
